resume_text,job_description,match_score,match_label
"Data scientist with 10 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Remote work experience included.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.89,high
"Graphic designer with 9 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.54,medium
"Real estate agent with 3 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Proven track record of delivering results.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.25,low
"Machine learning engineer with 10 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Proven track record of delivering results.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.93,high
"DevOps engineer with 5 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Proven track record of delivering results.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.92,high
"Chef with 5 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments. Strong problem-solving abilities.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.11,low
Mobile app developer with 6 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Excellent communication and teamwork skills.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.9,high
"Cloud architect with 9 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Strong problem-solving abilities.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.88,high
"Interior designer with 3 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management. Led teams of 3-8 members successfully.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.21,low
"Web designer with 10 years of experience in WordPress, Figma, and responsive design. Some React knowledge from online courses. Familiar with basic SEO. Strong problem-solving abilities.","Full Stack Developer at startup. Required: React (expert), Node.js, MongoDB, Docker, CI/CD pipelines. 4+ years experience.",0.58,medium
"Healthcare data analyst with 5 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Led teams of 3-8 members successfully.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.85,high
"Interior designer with 3 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management. Proven track record of delivering results.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.16,low
"Journalist with 7 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Excellent communication and teamwork skills.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.2,low
Software developer with 5 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Excellent communication and teamwork skills.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.64,medium
"Full stack developer with 4 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.93,high
"Machine learning engineer with 6 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Excellent communication and teamwork skills.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.92,high
"Machine learning engineer with 8 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Strong problem-solving abilities.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.93,high
"Cloud architect with 8 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.94,high
"Logistics coordinator with 9 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Remote work experience included.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.17,low
"Data scientist with 4 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.9,high
"DevOps engineer with 5 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Led teams of 3-8 members successfully.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.91,high
"Customer support lead with 5 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools. Remote work experience included.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.57,medium
Software developer with 10 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Remote work experience included.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.62,medium
"Data scientist with 2 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Excellent communication and teamwork skills.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.94,high
"Network engineer with 9 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Proven track record of delivering results.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.91,high
"Journalist with 6 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Remote work experience included.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.26,low
"Real estate agent with 2 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Proven track record of delivering results.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.22,low
"Chef with 4 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.13,low
"Data entry specialist with 4 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance. Remote work experience included.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.59,medium
"HR manager with 8 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Excellent communication and teamwork skills.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.9,high
"Business analyst with 3 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Strong problem-solving abilities.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.57,medium
Software developer with 8 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Proven track record of delivering results.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.68,medium
"Customer support lead with 3 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools. Excellent communication and teamwork skills.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.56,medium
Mobile app developer with 2 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.91,high
"Network engineer with 3 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Led teams of 3-8 members successfully.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.93,high
"Real estate agent with 2 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Excellent communication and teamwork skills.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.17,low
Project manager with 4 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.65,medium
Mobile app developer with 8 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Led teams of 3-8 members successfully.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.9,high
"Healthcare data analyst with 2 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Led teams of 3-8 members successfully.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.84,high
"Frontend developer with 5 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization. Strong problem-solving abilities.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.91,high
"Graphic designer with 7 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Proven track record of delivering results.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.59,medium
"DevOps engineer with 7 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible. Led teams of 3-8 members successfully.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.88,high
Project manager with 7 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.63,medium
"Fitness trainer with 10 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Led teams of 3-8 members successfully.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.15,low
"Journalist with 8 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Proven track record of delivering results.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.16,low
"DevOps engineer with 9 years of experience in CI/CD pipelines, Kubernetes, Docker, and cloud infrastructure on AWS and Azure. Expertise in Terraform and Ansible.","DevOps Engineer at tech firm. Required: Kubernetes, Docker, AWS/Azure, Terraform, CI/CD. 4+ years experience preferred.",0.87,high
"Logistics coordinator with 4 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Led teams of 3-8 members successfully.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.32,low
"Cloud architect with 5 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Remote work experience included.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.9,high
"Cloud architect with 2 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Excellent communication and teamwork skills.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.91,high
"Journalist with 10 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Proven track record of delivering results.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.16,low
"Fitness trainer with 2 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Excellent communication and teamwork skills.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.25,low
"Logistics coordinator with 8 years of experience in supply chain management, vendor coordination, and inventory tracking. Proficient in SAP and Excel. Proven track record of delivering results.","Mobile App Developer at startup. Required: React Native, iOS/Android, Firebase, GraphQL, app store deployment. 3+ years.",0.17,low
"Chef with 3 years of experience in French cuisine, menu planning, and kitchen management. Expert in food safety and team coordination in high-pressure environments.","Cybersecurity Analyst at financial firm. Required: ethical hacking, SIEM, firewall management, incident response, security certifications.",0.21,low
"Full stack developer with 8 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.88,high
"HR manager with 9 years of experience in talent acquisition, employee relations, and HR policy development. Familiarity with HRIS systems like Workday and SAP SuccessFactors. Led teams of 3-8 members successfully.","HR Manager at corporate firm. Required: talent acquisition, HRIS (Workday/SAP), employee relations, HR policy. 5+ years required.",0.84,high
"Sales manager with 9 years of experience in B2B SaaS sales, team leadership, and CRM tools like Salesforce. Consistently exceeded quarterly targets by 20-30%.","Sales Manager at SaaS company. Required skills: B2B sales, Salesforce CRM, team management, quota achievement. 5+ years preferred.",0.9,high
"Machine learning engineer with 10 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Strong problem-solving abilities.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.88,high
"Accountant with 2 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified. Proven track record of delivering results.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.29,low
"Real estate agent with 6 years of experience in property sales, client negotiation, and market analysis. Strong networking and communication skills. Excellent communication and teamwork skills.","Cloud Infrastructure Engineer at tech company. Required: AWS, Terraform, Kubernetes, Linux, DevOps practices. 4+ years.",0.18,low
"Accountant with 5 years of experience in bookkeeping, tax filing, and financial statement preparation. Proficient in QuickBooks and Tally. CPA certified. Proven track record of delivering results.","DevOps Engineer at cloud company. Required: Kubernetes, Docker, CI/CD, AWS/GCP, infrastructure as code. 4+ years required.",0.3,low
"Financial analyst with 5 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Excellent communication and teamwork skills.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.91,high
"Elementary school teacher with 10 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Led teams of 3-8 members successfully.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.3,low
"Network engineer with 9 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Strong problem-solving abilities.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.89,high
"Interior designer with 5 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.19,low
"Elementary school teacher with 4 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Led teams of 3-8 members successfully.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.19,low
"Frontend developer with 6 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.92,high
"Senior data analyst with 6 years of experience in SQL, Python, and data visualization. Worked with Tableau, Power BI, and Excel for reporting. Strong background in statistical analysis and business intelligence. Remote work experience included.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Python, Tableau, Power BI, statistical analysis. 5+ years experience preferred.",0.93,high
Project manager with 2 years of experience in waterfall and agile methodologies. PMP certified. Managed software delivery projects up to $2M budget. Remote work experience included.,"Engineering Manager at tech firm. Required: engineering background, coding experience, technical team leadership, system design. 7+ years.",0.59,medium
"Machine learning engineer with 3 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Strong problem-solving abilities.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.9,high
Software developer with 6 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Proven track record of delivering results.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.72,medium
"Elementary school teacher with 3 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.34,low
"Elementary school teacher with 7 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Remote work experience included.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.23,low
"Journalist with 7 years of experience in investigative reporting, content writing, and media production. Skilled in AP style writing and deadline management. Led teams of 3-8 members successfully.","Machine Learning Engineer at AI startup. Required: TensorFlow, PyTorch, deep learning, model optimization, MLOps. 3+ years.",0.17,low
"Healthcare data analyst with 10 years of experience in EHR systems, clinical data analysis, and HIPAA compliance. Proficient in R and Python for health data modeling. Excellent communication and teamwork skills.","Healthcare Data Analyst at hospital network. Required skills: EHR systems, clinical analytics, HIPAA, R or Python. 3+ years experience.",0.87,high
"Product manager with 8 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.84,high
"Interior designer with 3 years of experience in space planning, AutoCAD drafting, and client presentations. Strong aesthetic sense and vendor management. Strong problem-solving abilities.","Backend Engineer at fintech. Required: Java/Scala, microservices, Kafka, distributed systems, high-throughput APIs. 5+ years.",0.2,low
"Full stack developer with 3 years of experience in React, Node.js, and MongoDB. Built scalable web applications, REST APIs, and microservices. Familiar with AWS and Docker. Proven track record of delivering results.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Looking for 4+ years experience.",0.94,high
"Product manager with 9 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Led teams of 3-8 members successfully.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.88,high
"Data scientist with 2 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Remote work experience included.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.89,high
"Fitness trainer with 6 years of experience in personal training, nutrition planning, and group fitness instruction. CPT certified. Strong motivational skills. Proven track record of delivering results.","Data Scientist at biotech company. Required: R/Python, statistical modeling, bioinformatics, machine learning, PhD preferred.",0.23,low
Mobile app developer with 10 years of experience in iOS (Swift) and Android (Kotlin) development. Published 10+ apps on App Store and Play Store. Experience with Firebase and REST APIs. Proven track record of delivering results.,"Mobile Developer at app startup. Required: Swift or Kotlin, iOS/Android, Firebase, REST APIs. 3+ years experience.",0.94,high
"Frontend developer with 10 years of experience in React, Vue.js, TypeScript, and CSS frameworks. Strong UI/UX sensibility and experience with performance optimization.","Frontend Developer at product company. Required: React or Vue.js, TypeScript, CSS, UI/UX, web performance. 3+ years experience.",0.91,high
"Business analyst with 3 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Led teams of 3-8 members successfully.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.63,medium
"Graphic designer with 6 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Proven track record of delivering results.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.63,medium
"Financial analyst with 7 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Excellent communication and teamwork skills.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.92,high
"Elementary school teacher with 7 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Proven track record of delivering results.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.17,low
"Product manager with 8 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Strong problem-solving abilities.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.89,high
"Business analyst with 4 years of experience in requirements gathering, process mapping, and SQL queries. Some exposure to Python scripting and data visualization. Strong problem-solving abilities.","Senior Data Scientist at tech company. Required: advanced ML/DL, Python (expert), TensorFlow, published research, PhD preferred.",0.61,medium
"Elementary school teacher with 8 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience. Led teams of 3-8 members successfully.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.34,low
"Financial analyst with 5 years of experience in financial modeling, budgeting, and forecasting. Proficient in Excel, SAP, and Power BI. CFA Level 2 candidate. Proven track record of delivering results.","Financial Analyst at investment firm. Required: financial modeling, Excel, budgeting, SAP. CFA or MBA preferred. 3+ years.",0.86,high
"Product manager with 10 years of experience in agile product development, roadmap planning, and stakeholder management. Worked with cross-functional teams in B2C and B2B products. Strong problem-solving abilities.","Product Manager at tech company. Required: agile methodology, roadmap planning, cross-functional collaboration, B2B/B2C experience. 5+ years preferred.",0.88,high
"Marketing coordinator with 6 years of experience in social media, content creation, and email marketing using Mailchimp. Basic knowledge of Google Analytics.","Digital Marketing Manager at e-commerce company. Required: SEO/SEM expertise, Google Ads, paid media campaigns, team leadership, 5+ years.",0.61,medium
"Customer support lead with 3 years of experience managing support teams, ticketing systems, and SLA compliance. Some experience with Zendesk and CRM tools. Remote work experience included.","Sales Manager at SaaS company. Required: B2B sales, quota achievement, pipeline management, enterprise account management. 5+ years.",0.63,medium
"Cybersecurity analyst with 9 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Strong problem-solving abilities.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.92,high
"Data scientist with 7 years of experience in predictive modeling, NLP, and deep learning. Published research in machine learning. Proficient in Python, R, and Spark. Led teams of 3-8 members successfully.","Data Scientist at analytics firm. Required: predictive modeling, NLP, Python/R, deep learning experience. PhD or 4+ years experience.",0.88,high
"Data entry specialist with 6 years of experience in Excel, data cleaning, and basic reporting. Familiar with Salesforce data entry and CRM maintenance. Led teams of 3-8 members successfully.","Data Analyst at analytics company. Required: SQL, Python, statistical analysis, Tableau, predictive modeling. 3+ years experience.",0.53,medium
"Network engineer with 7 years of experience in LAN/WAN design, Cisco routers, switches, and firewalls. CCNP certified. Experience with SD-WAN and network monitoring tools. Strong problem-solving abilities.","Network Engineer at telecom company. Required: Cisco networking, CCNP certification, LAN/WAN, SD-WAN. 4+ years experience.",0.93,high
"Elementary school teacher with 4 years of experience in curriculum development, classroom management, and student assessment. Skilled in communication and patience.","Senior Software Engineer at tech company. Required: Python, Java, distributed systems, cloud architecture, system design. 6+ years.",0.25,low
"Cloud architect with 3 years of experience designing scalable cloud solutions on AWS. AWS Certified Solutions Architect. Experience with serverless, microservices, and cost optimization. Strong problem-solving abilities.","Cloud Architect at enterprise company. Required: AWS architecture, serverless, microservices, cost optimization. AWS certification preferred.",0.9,high
"Cybersecurity analyst with 7 years of experience in threat detection, penetration testing, and SIEM tools. Certified in CEH and CompTIA Security+. Experience with firewalls and network security. Led teams of 3-8 members successfully.","Cybersecurity Analyst at enterprise firm. Required skills: penetration testing, SIEM, network security, CEH certification. 3+ years required.",0.85,high
"Graphic designer with 6 years of experience in Adobe Creative Suite, brand design, and UI mockups. Some knowledge of HTML and CSS. Led teams of 3-8 members successfully.","Frontend Developer at product company. Required: React, TypeScript, JavaScript (expert), Node.js, REST APIs. 4+ years.",0.66,medium
"Machine learning engineer with 3 years of experience building and deploying ML models using TensorFlow, PyTorch, and scikit-learn. Strong Python skills and experience with MLOps pipelines. Strong problem-solving abilities.","ML Engineer at AI company. Required: TensorFlow, PyTorch, Python, model deployment, MLOps. 4+ years experience required.",0.95,high
Software developer with 3 years of experience in Java and Spring Boot. Some experience with React for frontend tasks. Familiar with MySQL and basic cloud deployments. Proven track record of delivering results.,"Full Stack Engineer at fintech company. Required: React (expert level), Node.js, TypeScript, GraphQL, AWS. 5+ years required.",0.61,medium
